"GEOID","state","total_population","B27010_001M","uninsured","B27010_002M","privately_insured","B27010_003M","publicly_insured","B27010_004M","year","uninsured_rate","private_insurance_rate","public_insurance_rate"
"28","Mississippi",2921189,726,733614,630,646697,2868,247659,3879,2015,25.1135410957661,22.1381430643481,8.47802042250604
"29","Missouri",5932449,696,1396052,748,1236909,3815,706115,5826,2015,23.5324736883537,20.849888469332,11.9025886273949
"30","Montana",999213,430,223495,311,189320,1728,95298,2100,2015,22.3671029099902,18.9469112191295,9.53730585971159
"31","Nebraska",1840934,374,463638,329,411661,1773,246091,2831,2015,25.1849333001618,22.3615295279461,13.3677252959639
"32","Nevada",2763700,616,660728,254,535597,3061,318269,4632,2015,23.9073705539675,19.3797083619785,11.5160473278576
"33","New Hampshire",1309057,216,271222,91,248919,1520,166284,2557,2015,20.7188838988677,19.0151383782372,12.7025790320819
"34","New Jersey",8796604,505,2019073,360,1835379,3554,1191054,7117,2015,22.9528690844785,20.8646313963889,13.5399297274266
"35","New Mexico",2049702,645,505704,377,435694,2247,161650,3615,2015,24.6720742820176,21.2564558165041,7.88651228324898
"36","New York",19427310,863,4243142,747,3798975,6805,2066842,14028,2015,21.8411195373935,19.5548174193957,10.6388480957992
"37","North Carolina",9649606,1800,2280606,573,2028713,5318,915793,8340,2015,23.6341877585468,21.0237910231775,9.4904703881174
"38","North Dakota",706307,473,162639,249,138592,1236,92532,1718,2015,23.0266725375793,19.6220623609847,13.1008187657775
"39","Ohio",11402897,462,2652431,519,2352875,4780,1399490,10083,2015,23.2610274389043,20.634010813217,12.2731091932164
"40","Oklahoma",3768424,655,945958,363,801433,2613,372300,3749,2015,25.1022177971481,21.2670601821876,9.87946154678985
"41","Oregon",3900771,368,859057,275,758351,2707,399679,5138,2015,22.0227488360634,19.4410540890506,10.2461539013698
"42","Pennsylvania",12575088,389,2715362,522,2396320,4951,1436134,8619,2015,21.5931848747301,19.0560893092756,11.4204687871767
"44","Rhode Island",1037930,303,214575,158,190290,1281,114498,2123,2015,20.6733594751091,18.3336063125644,11.0313797654948
"45","South Carolina",4679496,935,1079062,398,949944,3554,446278,4950,2015,23.0593636579666,20.3001348863211,9.53688174965851
"46","South Dakota",825506,312,206488,346,178360,1149,95561,1866,2015,25.0135068673032,21.606142172195,11.5760515368756
"47","Tennessee",6397431,835,1489975,705,1326851,4239,664079,7247,2015,23.2902082101394,20.7403721900244,10.3804011328923
"48","Texas",26062431,2204,7048386,1192,5934012,11799,2833875,16930,2015,27.0442385056099,22.7684516459727,10.8734100821217
"50","Vermont",620457,132,122937,130,110119,936,56086,1395,2015,19.8139435931902,17.7480470040631,9.03946607097672
"49","Utah",2876833,478,894273,325,764062,3306,541118,5304,2015,31.0853289016081,26.5591363836552,18.8095033670707
"51","Virginia",8043013,2019,1861692,831,1641236,4414,972395,6986,2015,23.1466988801336,20.4057360096272,12.0899344561547
"53","Washington",6878854,1336,1595015,337,1407408,4345,747644,6362,2015,23.1872198479572,20.459919631962,10.8687290063141
"54","West Virginia",1822400,196,381298,442,342639,1792,178637,3088,2015,20.9228489903424,18.8015254609306,9.8022936786655
"55","Wisconsin",5668363,314,1307902,406,1165819,2804,736356,5461,2015,23.0737163445602,20.5671196428316,12.9906288641006
"56","Wyoming",570198,319,137221,384,118203,1243,73798,1804,2015,24.0655000543671,20.7301674155293,12.9425217205252
"72","Puerto Rico",3556599,263,803164,123,738781,2545,204902,4240,2015,22.5823602829557,20.7721196570094,5.76117802428669
"01","Alabama",4749786,787,1110011,479,998162,3440,475912,4509,2015,23.3697054983109,21.0148836179146,10.0196514116636
"02","Alaska",709358,703,187667,180,149193,1450,73080,1906,2015,26.4558939209821,21.0321163643745,10.3022733232021
"04","Arizona",6533509,929,1615216,379,1345480,5196,681200,6819,2015,24.7220291576854,20.5935279189177,10.4262502737809
"05","Arkansas",2905193,521,705491,535,629683,2568,256558,4169,2015,24.2837911285068,21.6743947820334,8.83101398082675
"06","California",37912312,2424,9158861,577,8133711,9374,3990198,18558,2015,24.1580123100907,21.4540094521273,10.5248078777153
"08","Colorado",5187214,1103,1239895,492,1085763,4265,599610,5497,2015,23.9029081892515,20.931525092275,11.5593842860541
"10","Delaware",911788,346,203780,112,181174,1401,105248,2189,2015,22.3494935226171,19.8701891229102,11.5430341263539
"11","District of Columbia",636610,235,111064,45,98546,1127,44325,1326,2015,17.4461601294356,15.47980710325,6.96266159815272
"09","Connecticut",3538599,443,783526,210,716689,2392,451579,3824,2015,22.1422659080614,20.2534675446413,12.7615194601027
"12","Florida",19335250,1790,4032325,545,3458237,8290,1537826,12804,2015,20.8547859479448,17.8856596113316,7.95348392185258
"13","Georgia",9812517,1680,2487798,945,2165265,6148,1052674,8279,2015,25.3533114898043,22.066356674847,10.7278693122264
